SYMBOL,S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,Down%,PromC,IntCov,3M-RETURN,SECTOR,FNO
LT,11.0,Larsen & Toubro,3618.7,33.75,497640.77,10.9,19.34,15.04,54.9,0.0,42.71,19.8,15.77,8.7,0.0,4.12,11.75,Infrastructure Developers,True
ITDCEM,5.0,ITD Cem,673.0,31.01,11561.25,9.83,26.86,10.46,30.87,46.64,6.14,13.95,18.48,3.09,0.0,3.52,28.56,Infrastructure Developers,False
500307,9.0,Nirlon,531.35,22.19,4788.53,6.08,11.88,0.71,3.2,67.71,3.71,11.98,5.62,7.59,-0.02,4.06,4.39,Infrastructure Developers,False
505504,2.0,GHV Infra,547.05,255.2,788.57,,9966.67,1658.1,957.14,73.98,0.0,0.0,,0.0,70.41,17.42,207.72,Infrastructure Developers,False
544354,7.0,Solarium Green,284.5,31.91,593.17,,,80.59,46.88,58.34,6.16,2.87,,6.72,-20.23,6.32,26.77,Infrastructure Developers,False
ACTIVEINFR,6.0,Active Infra.,170.0,28.11,255.26,,,,,71.36,0.0,2.72,,6.28,-28.64,,,Infrastructure Developers,False
543225,10.0,Altius Telecom,148.0,49.33,45101.52,76.36,-36.43,49.5,4.42,75.0,,,43.5,8.64,0.0,1.24,-1.33,Infrastructure Investment Trusts,False
NHIT,5.0,National High,133.75,102.31,25905.38,140.25,-0.69,0.57,16.35,15.32,,,102.86,3.25,-0.16,1.09,1.25,Infrastructure Investment Trusts,False
CUBEINVIT,7.0,Cube Highways,120.0,108.45,16013.38,16.53,464.47,2.71,273.95,46.84,,,,4.0,0.0,1.1,-3.23,Infrastructure Investment Trusts,False
SBILIFE,2.0,SBI Life Insuran,1785.5,74.17,178931.23,-36.37,0.33,22.31,47.69,55.38,18.67,21.88,5.43,7.77,-0.01,,21.78,Insurance,True
HDFCLIFE,1.0,HDFC Life Insur.,748.2,88.94,161086.59,-13.73,15.48,39.83,12.83,50.32,14.1,24.96,1.23,5.3,0.0,,19.96,Insurance,True
TEJASCARGO,9.0,Tejas Cargo,164.05,29.85,391.96,,,0.0,0.0,73.63,0.25,12.32,,6.26,-26.37,2.47,,Logistics,False
COMMITTED,4.0,Committed Cargo,247.5,58.67,267.54,27.18,16.86,4.61,101.99,68.63,0.0,0.98,,1.79,0.0,136.67,16.14,Logistics,False
ELGNZ,5.0,Eleganz Interior,148.95,29.74,336.61,,,,,68.98,8.35,3.08,,2.39,,,26.63,Miscellaneous,False
BAHETI,4.0,Baheti Recycling,598.0,34.41,620.05,19.99,158.59,3.86,56.55,74.51,0.0,0.0,,7.99,0.53,2.65,32.99,Non Ferrous Metals,False
KANPRPLA,3.0,Kanpur Plastipa.,177.9,20.42,413.22,22.79,377.61,14.4,-60.51,66.74,0.0,0.0,27.68,5.77,0.0,3.44,47.73,Packaging,False
COMSYN,4.0,Commerl. Synbags,103.0,33.54,411.52,21.7,1508.0,-0.18,-2.22,58.79,0.0,0.0,15.65,6.19,0.0,2.53,43.49,Packaging,False
BERGEPAINT,1.0,Berger Paints,567.85,56.08,66205.35,7.29,17.99,-9.11,-11.17,74.98,10.11,5.75,3.15,9.81,-0.01,24.17,19.64,Paints/Varnish,False
STYRENIX,1.0,Styrenix Perfor.,2875.2,29.21,5057.48,42.52,36.41,5.75,-31.96,46.24,12.51,2.48,,7.15,0.0,58.91,17.04,Petrochemicals,False
DIVISLAB,10.0,Divi's Lab.,6190.0,79.48,164325.06,25.01,64.53,-0.81,15.49,51.89,20.63,18.01,21.22,4.01,0.0,,6.34,Pharmaceuticals,True
TORNTPHARM,20.0,Torrent Pharma.,3266.05,59.38,110532.98,2.82,31.94,-2.77,11.04,68.31,8.25,16.31,7.99,9.04,0.0,13.12,8.33,Pharmaceuticals,True
ABBOTINDIA,8.0,Abbott India,30950.0,46.5,65768.75,11.54,27.86,-0.6,1.74,74.99,8.91,0.16,9.65,2.98,0.0,124.14,8.94,Pharmaceuticals,False
GLAXO,18.0,Glaxosmi. Pharma,2870.35,52.6,48625.44,4.79,36.37,2.63,14.35,75.0,7.79,4.52,8.81,8.82,0.0,619.22,42.66,Pharmaceuticals,False
LAURUSLABS,17.0,Laurus Labs,605.7,91.17,32662.57,19.49,210.28,21.57,150.45,27.62,11.78,25.51,10.96,8.35,0.0,6.54,10.53,Pharmaceuticals,True
ERIS,15.0,ERIS Lifescience,1472.05,60.87,20047.13,49.59,-17.57,-1.85,-9.78,54.85,18.07,8.43,47.45,7.64,-0.02,3.03,18.71,Pharmaceuticals,False
SAILIFE,16.0,Sai Life,746.0,89.67,15548.58,32.62,46.24,32.29,76.15,35.17,13.26,12.36,,7.76,-0.07,14.15,14.07,Pharmaceuticals,False
SANOFICONR,19.0,Sanofi Consumer,5014.1,61.6,11547.79,-22.11,-20.26,1.11,12.87,60.4,25.48,4.52,,8.82,0.0,168.0,6.83,Pharmaceuticals,False
AARTIPHARM,12.0,Aarti Pharma,789.85,26.28,7158.82,11.47,35.39,4.83,19.39,44.29,7.53,7.36,14.57,5.66,-0.37,18.42,10.63,Pharmaceuticals,False
JSLL,9.0,Jeena Sikho,2406.7,71.02,5983.09,36.08,47.28,28.18,25.41,63.53,0.17,5.95,,3.68,-2.31,311.0,31.19,Pharmaceuticals,False
