S.No.,Name,Price,P/E,Cap,QtrSV,QtrPV,QoQS,QoQP,Prom.,DII,FII,ExpQV,Down%,PromC,IntCov,3M-RETURN,SYMBOL,SECTOR
9.,Lumax Industries,2703.30,19.15,2527.59,40.42,30.88,8.66,18.39,75.00,5.63,0.97,28.78,11.22,0.00,3.14,13.97,LUMAXIND,Auto Ancillaries
10.,Frontier Springs,2280.00,32.00,898.32,76.47,171.12,11.54,19.75,51.76,0.00,0.00,72.36,13.77,0.00,192.00,10.32,522195,Auto Ancillaries
11.,ASK Automotive,437.55,34.85,8625.98,8.58,20.62,-7.15,-12.57,78.95,4.95,9.94,20.78,14.03,0.00,9.48,5.90,ASKAUTOLTD,Auto Ancillaries
12.,NDR Auto Compon.,892.45,39.84,2122.73,9.08,41.17,9.61,22.40,73.13,0.00,0.06,19.37,14.23,0.07,26.45,32.79,NDRAUTO,Auto Ancillaries
13.,L G Balakrishnan,1323.95,14.86,4222.38,10.25,14.50,-1.14,11.64,34.80,13.87,5.92,9.95,15.94,0.00,27.47,6.09,LGBBROSLTD,Auto Ancillaries
14.,Bharat Seats,104.10,20.02,653.74,41.28,40.97,28.24,50.07,74.66,0.11,0.00,22.55,16.79,0.07,8.20,42.29,BHARATSE,Auto Ancillaries
15.,Talbros Engg.,627.00,16.54,318.30,5.98,20.27,11.77,11.48,72.59,0.02,0.00,2.68,17.50,0.06,3.14,15.69,538987,Auto Ancillaries
16.,Maxvolt Ene.,185.50,39.12,202.27,,,,,39.14,6.51,1.54,,17.92,,,,MAXVOLT,Auto Ancillaries
17.,Wheels India,742.10,17.00,1813.17,-6.50,79.41,-2.52,2.97,58.31,11.68,0.38,-4.76,18.89,0.00,2.07,17.36,WHEELS,Auto Ancillaries
18.,Bosch,31650.25,46.14,93348.11,6.19,4.33,1.62,-14.50,70.54,16.00,6.09,5.17,19.03,0.00,108.21,17.50,BOSCHLTD,Auto Ancillaries
19.,Subros,658.50,31.89,4295.77,12.08,22.56,-0.88,-9.61,36.79,11.18,32.80,10.43,20.41,0.00,15.29,13.00,SUBROS,Auto Ancillaries
20.,Sar Auto Prod.,1900.00,2155.48,905.30,-57.33,-483.33,-34.66,-333.33,74.67,4.63,0.00,-23.94,20.83,0.00,0.20,-0.16,538992,Auto Ancillaries
21.,Uno Minda,992.00,60.49,56957.04,18.77,20.21,-1.43,-4.43,68.75,15.20,10.09,22.44,20.96,0.00,7.36,9.78,UNOMINDA,Auto Ancillaries
22.,Jullundur Motor,95.26,8.61,217.60,3.77,8.24,11.29,60.61,51.00,0.01,0.05,4.68,21.27,0.00,,9.97,JMA,Auto Ancillaries
23.,HBL Engineering,580.70,48.84,16096.72,-24.81,-20.27,-13.51,-25.73,59.11,0.36,4.83,10.84,21.49,0.00,18.05,15.20,HBLENGINE,Auto Ancillaries
24.,Uravi Defence &,525.00,365.52,577.50,-13.10,-26.32,-9.89,-6.67,70.93,0.00,4.82,17.92,21.64,-1.80,1.90,24.36,URAVIDEF,Auto Ancillaries
25.,Automotive Axles,1727.90,17.00,2610.85,-1.96,1.10,7.29,10.04,71.04,13.53,0.54,-10.67,21.96,0.00,80.41,0.04,AUTOAXLES,Auto Ancillaries
26.,Minda Corp,503.80,43.94,12044.82,7.44,23.45,-2.90,-12.83,64.84,18.48,8.33,9.79,22.84,0.00,8.60,-2.27,MINDACORP,Auto Ancillaries
27.,Kinetic Engg.,180.95,64.60,402.46,-5.31,-52.43,33.36,-83.99,61.52,0.01,5.69,0.97,23.29,2.17,1.29,0.78,500240,Auto Ancillaries
28.,Ultra Wiring,152.25,18.86,79.22,40.62,158.45,79.77,592.45,74.13,0.00,0.00,,23.99,0.00,19.81,-8.56,UWCSL,Auto Ancillaries
29.,IST,842.95,6.65,983.23,-2.81,-27.77,-10.85,-50.55,74.98,1.10,0.00,1.42,25.28,0.00,19.75,1.14,508807,Auto Ancillaries
30.,Craftsman Auto,5281.00,59.37,12598.17,58.25,19.75,10.99,416.32,48.70,22.72,15.64,31.70,25.84,0.00,2.27,35.83,CRAFTSMAN,Auto Ancillaries
31.,Menon Bearings,116.80,26.24,654.53,19.02,17.62,9.30,20.84,68.44,0.00,0.46,13.52,26.08,0.00,18.92,13.52,MENONBE,Auto Ancillaries
32.,OBSC Perfection,194.95,39.04,476.71,21.00,22.60,,,73.49,1.30,3.58,,26.38,0.49,8.13,27.19,OBSCP,Auto Ancillaries
33.,Pricol Ltd,440.00,32.11,5362.79,31.70,-15.78,21.39,-15.68,38.51,15.66,16.26,19.04,26.53,0.00,11.16,2.61,PRICOLLTD,Auto Ancillaries
34.,India Nipp.Elec.,629.40,18.81,1423.80,20.02,32.12,2.30,-24.57,70.37,0.00,0.19,17.74,27.40,0.00,303.86,6.08,INDNIPPON,Auto Ancillaries
35.,G S Auto Intl.,39.44,34.90,57.25,-9.23,512.50,6.62,16.67,41.71,0.00,0.00,-2.12,28.03,0.00,1.82,9.28,513059,Auto Ancillaries
36.,Motherson Wiring,57.45,41.92,25399.21,12.40,-13.85,9.10,17.82,61.73,16.21,10.16,12.18,28.19,0.00,40.66,14.12,MSUMI,Auto Ancillaries
37.,Endurance Tech.,2197.00,37.39,30903.64,10.38,12.13,3.65,32.94,75.00,10.89,12.37,12.92,28.23,0.00,25.19,16.83,ENDURANCE,Auto Ancillaries
38.,ZF Commercial,13079.40,54.06,24798.55,4.99,23.86,4.95,0.22,63.16,23.32,5.57,0.90,28.33,0.00,119.42,25.62,ZFCVINDIA,Auto Ancillaries
39.,Federal-Mogul Go,346.90,13.51,1929.82,4.42,18.10,-6.60,-24.84,74.98,0.22,0.30,5.50,29.06,0.00,31.17,-5.81,FMGOETZE,Auto Ancillaries
40.,Varroc Engineer,507.60,45.53,7755.45,10.12,-93.38,-0.26,-178.18,75.00,12.79,3.92,10.49,29.21,0.00,2.58,5.74,VARROC,Auto Ancillaries
41.,Sintercom India,131.51,540.34,362.01,2.64,-89.36,-0.04,-88.10,69.74,0.00,0.03,2.86,29.30,0.00,1.31,4.80,SINTERCOM,Auto Ancillaries
42.,Sona BLW Precis.,541.35,54.81,33656.71,-2.19,11.86,-0.36,8.61,28.02,34.43,29.91,12.10,29.57,-0.01,42.62,9.10,SONACOMS,Auto Ancillaries
43.,Enkei Wheels,535.00,,961.66,2.87,-159.75,16.79,-78.45,74.97,0.00,0.02,7.43,29.61,0.00,-0.42,-13.29,533477,Auto Ancillaries
44.,Sansera Enginee.,1230.90,37.75,7621.96,2.13,15.98,-4.66,8.35,30.35,37.01,20.10,11.44,29.99,0.02,4.92,3.36,SANSERA,Auto Ancillaries
45.,PPAP Automotive,181.50,,255.67,13.80,160.67,-3.87,-43.36,64.61,0.00,5.67,4.76,30.26,0.00,1.45,-2.27,PPAP,Auto Ancillaries
46.,Machino Plastics,233.00,22.74,143.05,12.08,38.74,1.01,-27.36,75.00,0.01,0.00,8.12,31.15,0.00,2.02,-1.68,523248,Auto Ancillaries
47.,Talbros Auto.,270.90,19.02,1672.22,1.37,4.70,-6.46,1.75,58.43,0.01,0.70,10.03,31.56,0.00,10.08,12.33,TALBROAUTO,Auto Ancillaries
48.,Jay Ushin,600.00,18.12,231.60,23.46,-13.51,3.06,-1.77,62.86,0.02,0.00,14.30,31.58,0.00,2.11,-4.88,513252,Auto Ancillaries
49.,GNA Axles,338.00,13.55,1451.05,1.75,51.94,0.65,0.35,68.82,11.31,0.41,2.40,31.58,0.93,13.52,2.15,GNA,Auto Ancillaries
50.,Banco Products,406.80,19.00,5818.75,11.99,-54.73,-28.59,-77.70,67.88,0.17,3.88,15.73,31.61,0.00,9.32,26.32,BANCOINDIA,Auto Ancillaries
1.,Force Motors,11091.80,26.75,14614.86,17.14,26.81,24.69,276.92,61.63,1.43,8.36,15.84,1.41,0.00,38.64,70.87,FORCEMOT,Automobile
2.,M & M,3135.70,30.13,389933.34,20.16,19.65,2.72,-2.28,18.45,29.77,38.30,14.65,4.29,-0.03,2.93,6.85,M&amp;M,Automobile
3.,Maruti Suzuki,13045.05,28.27,410139.73,6.37,-1.04,5.56,4.94,58.28,23.56,14.96,8.08,4.64,0.00,104.31,2.14,MARUTI,Automobile
4.,TVS Motor Co.,2807.05,60.37,133359.33,16.09,68.86,4.60,14.47,50.27,19.73,21.48,13.49,5.11,0.00,2.80,16.17,TVSMOTOR,Automobile
5.,Eicher Motors,5548.60,32.10,152122.70,23.15,27.25,5.39,16.37,49.08,16.55,25.02,14.63,6.08,-0.01,108.41,16.22,EICHERMOT,Automobile
6.,Hyundai Motor I,1820.75,24.82,147943.44,-2.10,-19.31,-3.76,-15.97,82.50,7.00,7.17,,7.58,0.00,51.61,1.64,HYUNDAI,Automobile
7.,Ather Energy,303.85,,11317.18,29.17,17.26,6.49,-18.50,42.09,23.66,7.00,,8.75,-41.11,-7.22,,ATHERENERG,Automobile
8.,Ashok Leyland,239.55,25.23,70344.52,8.14,37.61,7.60,6.93,51.35,14.06,23.50,4.70,9.50,-0.04,2.12,11.93,ASHOKLEY,Automobile
9.,Escorts Kubota,3570.25,35.47,39943.17,6.27,12.43,-17.07,-0.69,68.04,11.34,5.21,7.26,19.26,0.00,69.60,20.17,ESCORTS,Automobile
10.,SML ISUZU,1725.35,20.63,2496.55,-14.07,-80.22,-39.64,-97.57,43.96,0.04,15.24,11.15,28.29,0.00,1.11,45.59,SMLISUZU,Automobile
11.,VST Till. Tract.,3825.50,34.98,3306.51,10.24,-28.87,37.58,1369.41,55.63,20.72,2.47,5.65,29.55,0.00,80.63,-1.39,VSTTILLERS,Automobile
12.,Hero Motocorp,4295.75,19.65,85919.64,3.67,24.21,-2.83,5.45,34.74,27.89,27.43,8.49,31.23,0.00,93.43,11.98,HEROMOTOCO,Automobile
13.,Bajaj Auto,8295.00,30.75,231644.17,8.25,8.02,-0.59,58.48,55.04,10.92,11.61,18.64,35.06,0.00,24.93,-2.12,BAJAJ-AUTO,Automobile
14.,Olectra Greentec,1269.55,79.18,10420.56,50.63,71.66,-1.58,-2.16,50.02,0.45,5.38,42.97,35.23,0.00,6.76,7.16,OLECTRA,Automobile
15.,Hindustan Motors,26.19,16.91,546.49,-56.93,-70.23,-25.32,-31.28,32.34,2.47,0.16,,35.51,0.00,61.75,6.36,HINDMOTORS,Automobile
16.,Tata Motors,738.80,11.47,271978.04,0.39,-49.58,6.12,55.99,42.58,16.88,17.84,1.16,37.34,0.00,12.22,6.97,TATAMOTORS,Automobile
17.,Urja Global,15.41,506.11,809.72,84.31,-45.56,3.64,47.22,19.43,0.00,0.12,56.86,39.45,0.00,4.53,13.34,URJA,Automobile
18.,Atul Auto,492.85,74.57,1367.72,31.75,20.70,8.20,-17.28,42.73,0.13,0.69,44.69,41.63,0.00,4.44,1.28,ATULAUTO,Automobile
19.,Indo Farm Equip.,158.95,45.95,763.77,,,11.71,10.56,69.44,5.97,0.82,,45.79,-24.01,1.87,-17.91,INDOFARM,Automobile
20.,Tunwal E-Motors,31.50,14.74,174.20,65.47,6.96,,,63.90,0.00,0.00,,50.78,1.56,7.88,-18.44,TUNWAL,Automobile
21.,Mercury EV-Tech,65.14,187.48,1237.48,677.29,707.55,82.75,167.50,59.18,0.00,1.92,445.51,53.20,0.00,19.65,-6.47,531357,Automobile
22.,Delta Auto.,73.90,16.51,113.00,,,,,70.73,7.01,2.85,,59.78,,,-13.19,DELTIC,Automobile
23.,Bikewo Green,16.40,12.81,21.39,12.38,30.00,,,62.48,0.38,0.00,,65.29,0.00,3.69,-22.09,BIKEWO,Automobile
24.,Ola Electric,52.42,,23121.60,-19.37,-51.61,-13.92,-13.94,36.78,2.93,2.89,,66.72,0.00,-5.06,-14.44,OLAELEC,Automobile
25.,Wardwizard Inno.,20.38,78.25,531.30,-14.85,51.64,26.38,69.01,47.14,0.01,0.00,-0.43,72.92,-4.35,2.36,-33.05,538970,Automobile
21.,Mercury EV-Tech,65.14,187.48,1237.48,677.29,707.55,82.75,167.50,59.18,0.00,1.92,445.51,53.20,0.00,19.65,-6.47,531357,Automobile
22.,Delta Auto.,73.90,16.51,113.00,,,,,70.73,7.01,2.85,,59.78,,,-13.19,DELTIC,Automobile
23.,Bikewo Green,16.40,12.81,21.39,12.38,30.00,,,62.48,0.38,0.00,,65.29,0.00,3.69,-22.09,BIKEWO,Automobile
24.,Ola Electric,52.42,,23121.60,-19.37,-51.61,-13.92,-13.94,36.78,2.93,2.89,,66.72,0.00,-5.06,-14.44,OLAELEC,Automobile
25.,Wardwizard Inno.,20.38,78.25,531.30,-14.85,51.64,26.38,69.01,47.14,0.01,0.00,-0.43,72.92,-4.35,2.36,-33.05,538970,Automobile
21.,Mercury EV-Tech,65.14,187.48,1237.48,677.29,707.55,82.75,167.50,59.18,0.00,1.92,445.51,53.20,0.00,19.65,-6.47,531357,Automobile
22.,Delta Auto.,73.90,16.51,113.00,,,,,70.73,7.01,2.85,,59.78,,,-13.19,DELTIC,Automobile
23.,Bikewo Green,16.40,12.81,21.39,12.38,30.00,,,62.48,0.38,0.00,,65.29,0.00,3.69,-22.09,BIKEWO,Automobile
24.,Ola Electric,52.42,,23121.60,-19.37,-51.61,-13.92,-13.94,36.78,2.93,2.89,,66.72,0.00,-5.06,-14.44,OLAELEC,Automobile
25.,Wardwizard Inno.,20.38,78.25,531.30,-14.85,51.64,26.38,69.01,47.14,0.01,0.00,-0.43,72.92,-4.35,2.36,-33.05,538970,Automobile
1.,ICICI Bank,1453.55,20.27,1036251.03,13.57,15.69,2.87,3.66,0.00,44.77,45.83,16.87,0.20,0.00,1.83,15.13,ICICIBANK,Banks
2.,City Union Bank,192.55,12.70,14268.11,11.54,13.01,3.65,0.69,0.00,33.07,28.04,10.70,1.89,0.00,1.39,19.80,CUB,Banks
3.,HDFC Bank,1934.00,20.88,1480591.51,9.25,6.88,2.05,5.15,0.00,35.68,48.30,21.68,2.27,0.00,1.54,14.10,HDFCBANK,Banks
4.,DCB Bank,142.40,7.29,4477.36,20.58,13.74,4.24,16.92,14.70,29.18,9.64,20.68,2.43,-0.02,1.20,25.54,DCBBANK,Banks
5.,South Ind.Bank,28.13,5.63,7359.63,4.34,19.00,0.11,0.09,0.00,10.42,11.96,9.41,2.60,0.00,1.31,15.05,SOUTHBANK,Banks
6.,Indian Bank,595.90,7.14,80265.59,8.38,29.88,0.57,2.47,73.84,17.78,4.74,11.54,5.82,0.00,1.45,15.82,INDIANB,Banks
7.,Federal Bank,198.30,11.71,48706.10,12.13,12.38,-2.16,17.78,0.00,49.07,26.28,19.47,8.62,0.00,1.32,9.85,FEDERALBNK,Banks
8.,Kotak Mah. Bank,2093.70,21.65,416279.96,10.66,-7.58,0.83,4.93,25.88,29.13,32.65,16.96,9.04,-0.01,1.89,7.89,KOTAKBANK,Banks
9.,AU Small Finance,683.85,24.15,50924.03,50.93,16.24,3.82,-4.68,22.87,27.16,35.58,52.21,9.47,-0.01,1.30,29.01,AUBANK,Banks
10.,Karur Vysya Bank,222.70,9.51,17928.38,16.20,20.50,4.28,4.74,2.11,38.87,15.12,19.98,9.53,-0.02,1.47,-1.38,KARURVYSYA,Banks
11.,CSB Bank,364.25,10.64,6319.21,23.40,25.74,6.69,25.60,40.00,16.89,13.07,22.90,9.66,0.00,1.42,24.36,CSBBANK,Banks
12.,Axis Bank,1207.50,13.31,374124.93,7.35,-1.63,0.90,10.77,8.18,40.87,43.94,13.12,9.86,-0.05,1.55,21.21,AXISBANK,Banks
13.,T N Merc. Bank,449.55,6.02,7118.71,7.02,15.35,0.80,-2.78,0.00,2.66,4.22,9.17,12.46,0.00,1.50,5.08,TMB,Banks
14.,St Bk of India,796.20,9.15,710578.28,8.11,-8.34,1.88,4.60,57.43,24.92,9.94,11.87,12.71,0.00,1.34,11.85,SBIN,Banks
15.,Bank of India,114.90,5.50,52310.16,13.71,65.33,0.88,-1.36,73.38,15.90,3.88,16.80,16.41,0.00,1.29,14.85,BANKINDIA,Banks
16.,Canara Bank,107.15,5.57,97192.02,7.54,28.30,2.42,20.10,62.93,11.85,10.54,10.10,17.16,0.00,1.31,22.82,CANBK,Banks
17.,Ujjivan Small,45.05,12.03,8717.47,2.93,-74.70,-1.11,-23.23,0.00,8.47,19.51,12.42,17.70,0.00,1.13,35.92,UJJIVANSFB,Banks
18.,IDFC First Bank,69.25,34.06,50736.59,14.51,-59.61,0.75,-13.10,0.00,19.30,25.68,20.56,18.05,0.00,1.08,14.65,IDFCFIRSTB,Banks
19.,Karnataka Bank,198.75,5.93,7511.49,2.63,-7.97,0.69,-11.01,0.00,18.16,12.88,8.85,18.88,0.00,1.23,13.01,KTKBANK,Banks
20.,IDBI Bank,86.69,12.22,93212.60,-0.17,25.38,-10.70,7.20,94.71,0.18,0.46,10.55,19.72,0.00,1.81,19.65,IDBI,Banks
21.,Yes Bank,21.78,27.94,68293.75,2.22,59.33,-2.68,20.21,0.00,39.52,26.88,12.38,20.63,0.00,1.19,21.11,YESBANK,Banks
22.,Dhanlaxmi Bank,30.17,17.89,1190.83,14.50,775.53,4.79,45.99,0.00,0.05,15.26,9.45,20.90,0.00,1.13,26.04,DHANBANK,Banks
23.,Bank of Baroda,236.70,5.93,122406.16,4.10,5.60,-0.69,3.75,63.97,17.97,8.98,8.14,21.02,0.00,1.34,14.24,BANKBARODA,Banks
24.,RBL Bank,211.80,17.97,12877.04,4.12,-76.13,-1.70,83.83,0.00,20.79,14.43,13.71,21.67,0.00,1.05,33.66,RBLBANK,Banks
25.,Capital Small,287.15,9.87,1299.27,13.35,21.38,-1.49,0.56,18.77,31.85,1.29,14.38,22.54,0.00,1.35,-1.68,CAPITALSFB,Banks
26.,Union Bank (I),132.50,5.63,101145.27,5.13,50.57,2.71,8.40,74.76,11.63,7.11,8.08,23.19,0.00,1.34,20.77,UNIONBANK,Banks
27.,Bandhan Bank,169.20,9.95,27257.68,4.71,481.91,-0.82,-25.46,39.98,16.36,22.73,16.79,23.89,0.00,1.12,24.83,BANDHANBNK,Banks
28.,J & K Bank,103.50,5.45,11397.24,10.41,-8.13,0.12,10.09,59.40,6.69,7.64,11.85,24.95,0.00,1.47,6.37,J&amp;KBANK,Banks
29.,Punjab Natl.Bank,99.15,6.16,113952.53,13.39,49.28,1.97,4.16,70.08,14.67,5.71,13.71,28.46,0.00,1.30,6.58,PNB,Banks
30.,Bank of Maha,50.87,7.06,39126.96,23.12,22.15,6.42,6.43,79.60,10.67,1.72,21.75,30.79,0.00,1.43,5.76,MAHABANK,Banks
31.,Jana Small Finan,497.45,10.43,5231.17,7.86,-61.61,1.86,11.59,22.28,15.89,0.89,17.99,34.62,-0.07,1.20,26.86,JSFB,Banks
32.,Suryoday Small,127.30,11.79,1353.01,5.83,-155.52,-3.54,-201.44,22.43,5.66,4.67,24.30,40.16,0.14,0.79,3.66,SURYODAY,Banks
33.,Equitas Sma. Fin,63.29,49.05,7216.20,13.80,-79.72,1.99,-36.49,0.00,42.70,16.47,15.10,41.29,0.00,1.07,1.33,EQUITASBNK,Banks
34.,ESAF Small Fin,31.32,,1614.32,-2.52,-288.07,-4.67,-10.96,63.31,5.00,0.27,11.80,45.16,-0.05,0.39,3.54,ESAFSFB,Banks
35.,Fino Payments,252.40,22.71,2100.41,27.49,-4.80,6.95,3.85,75.00,3.52,4.08,30.24,45.95,0.00,2.14,9.10,FINOPB,Banks
36.,I O B,37.98,21.91,73136.51,15.16,30.07,7.34,20.31,94.61,2.59,0.22,17.01,49.73,-1.77,1.34,-18.53,IOB,Banks
37.,Central Bank,36.45,8.41,32992.39,3.37,35.32,1.30,14.54,89.27,5.87,1.27,9.73,50.07,-3.81,1.22,-23.82,CENTRALBK,Banks
38.,UCO Bank,30.98,15.93,38847.55,15.10,24.09,8.43,2.13,90.95,5.36,0.44,14.72,50.31,-4.44,1.26,-21.10,UCOBANK,Banks
39.,IndusInd Bank,755.05,8.13,58822.47,10.62,-39.02,0.90,5.72,15.67,36.32,29.53,15.44,51.29,-0.11,1.24,-23.81,INDUSINDBK,Banks
40.,Utkarsh Small F.,24.27,112.81,2673.63,-1.79,-98.14,-5.66,101.77,68.92,7.04,1.00,20.20,56.27,-0.01,1.02,-14.37,UTKARSHBNK,Banks
41.,Pun. & Sind Bank,30.27,21.12,21478.37,27.31,124.46,7.77,10.93,93.85,4.32,0.73,18.68,58.89,-4.40,1.22,-30.73,PSB,Banks
1.,SKP Bearing,235.00,36.53,390.10,,,,,74.68,2.84,0.00,,11.30,0.17,4.11,9.02,SKP,Bearings
2.,Schaeffler India,3970.75,61.11,62064.26,14.10,16.58,1.33,6.45,74.13,16.03,4.49,12.95,19.80,0.00,244.64,34.38,SCHAEFFLER,Bearings
3.,SNL Bearings,387.00,12.86,139.72,20.51,35.27,10.66,-3.78,74.39,0.00,0.00,8.01,24.77,0.00,,10.59,505827,Bearings
4.,Bimetal Bearings,604.05,22.01,231.35,-1.73,264.20,-13.62,24.47,74.88,0.00,0.00,1.51,28.33,0.00,11.21,6.12,505681,Bearings
5.,Benara Bearings,17.35,,30.72,-31.98,65.48,-33.41,1.90,69.91,0.00,0.00,,28.84,0.00,-1.14,-8.68,541178,Bearings
6.,NRB Bearings,261.90,22.12,2538.43,15.70,86.06,18.23,-106.06,51.20,14.56,13.65,9.68,29.41,0.07,20.98,14.20,NRBBEARING,Bearings
7.,Timken India,3017.65,56.48,22698.37,9.67,10.04,-10.82,-17.39,51.05,26.80,10.68,10.37,37.37,0.00,93.19,12.93,TIMKEN,Bearings
8.,SKF India,4543.35,39.70,22461.38,0.83,15.99,-3.40,84.92,52.58,26.51,8.21,7.93,38.19,0.00,1966.29,17.26,SKFINDIA,Bearings
9.,Austin Engg Co,152.00,11.63,52.89,-3.06,58.82,-5.86,-18.18,34.17,0.07,0.00,3.37,39.68,0.00,20.50,-5.03,522005,Bearings
10.,Vishal Bearings,84.76,,91.47,-17.01,-3928.57,-13.17,-397.78,70.79,0.00,0.00,-21.10,41.14,0.00,-1.35,-7.77,539398,Bearings
11.,Galaxy Bearings,1040.90,21.09,331.01,-40.03,-69.70,-56.65,-67.65,46.25,0.36,0.27,-10.46,42.17,0.00,6.12,31.75,526073,Bearings
12.,NRB Indl Bearing,25.41,,61.62,-6.28,10.74,3.00,24.47,72.74,0.01,0.00,-12.92,49.58,0.00,-0.90,10.92,NIBL,Bearings
11.,Galaxy Bearings,1040.90,21.09,331.01,-40.03,-69.70,-56.65,-67.65,46.25,0.36,0.27,-10.46,42.17,0.00,6.12,31.75,526073,Bearings
12.,NRB Indl Bearing,25.41,,61.62,-6.28,10.74,3.00,24.47,72.74,0.01,0.00,-12.92,49.58,0.00,-0.90,10.92,NIBL,Bearings
11.,Galaxy Bearings,1040.90,21.09,331.01,-40.03,-69.70,-56.65,-67.65,46.25,0.36,0.27,-10.46,42.17,0.00,6.12,31.75,526073,Bearings
12.,NRB Indl Bearing,25.41,,61.62,-6.28,10.74,3.00,24.47,72.74,0.01,0.00,-12.92,49.58,0.00,-0.90,10.92,NIBL,Bearings
11.,Galaxy Bearings,1040.90,21.09,331.01,-40.03,-69.70,-56.65,-67.65,46.25,0.36,0.27,-10.46,42.17,0.00,6.12,31.75,526073,Bearings
12.,NRB Indl Bearing,25.41,,61.62,-6.28,10.74,3.00,24.47,72.74,0.01,0.00,-12.92,49.58,0.00,-0.90,10.92,NIBL,Bearings
1.,Clenon Enterpri,44.77,,38.57,,-642.86,,-140.94,92.86,0.00,0.00,,0.00,0.00,,10.24,517564,Cables
2.,Polycab India,6091.35,45.36,91630.63,24.93,33.09,33.67,58.15,63.05,10.95,11.11,24.34,19.93,-0.01,30.52,11.55,POLYCAB,Cables
3.,Dynamic Cables,848.30,31.67,2055.40,37.47,71.10,31.68,49.11,68.18,2.17,1.08,34.71,22.53,0.01,16.12,22.24,DYCL,Cables
4.,Cords Cable,199.45,19.20,257.85,22.31,58.64,12.27,77.95,51.92,0.02,1.31,25.44,28.77,0.00,2.20,15.75,CORDSCABLE,Cables
5.,R R Kabel,1334.45,48.43,15089.07,26.44,64.04,24.45,88.32,61.80,14.75,7.17,15.92,29.89,0.00,12.18,16.78,RRKABEL,Cables
6.,Aksh Optifibre,10.44,,169.87,-43.95,7.98,10.99,47.68,24.30,0.01,0.00,-39.11,30.40,-0.08,-1.37,14.46,AKSHOPTFBR,Cables
7.,T N Telecom.,10.35,,47.25,,-10.65,,-4.26,63.63,11.86,0.00,,30.54,0.00,-0.23,5.97,TNTELE,Cables
8.,KEI Industries,3481.00,47.80,33261.85,25.11,34.25,17.90,37.46,35.02,23.51,25.83,19.95,30.94,0.00,22.97,2.56,KEI,Cables
9.,Advait Energy,1541.05,53.77,1664.41,225.92,57.40,97.73,31.56,69.46,0.31,0.00,135.92,31.81,0.00,6.11,17.18,543230,Cables
10.,V-Marc India,317.05,21.45,774.26,43.61,15.78,62.12,117.50,64.87,0.00,0.16,,35.84,0.00,2.85,0.13,VMARCIND,Cables
11.,Quadrant Future,470.75,128.19,1883.00,-30.62,-697.17,-31.84,-137.36,70.00,8.35,2.30,,36.73,-23.33,-4.35,-6.49,QUADFUTURE,Cables
12.,Sterlite Tech.,69.79,,3405.22,-4.61,53.32,-10.76,-71.43,44.16,11.60,7.28,-16.37,37.97,-0.01,0.59,-1.02,STLTECH,Cables
13.,Universal Cables,566.75,22.27,1966.35,30.22,-33.93,-4.79,-13.40,61.89,6.62,0.18,16.25,39.63,0.00,1.77,2.48,UNIVCABLES,Cables
14.,Plaza Wires,59.39,153.74,259.85,-0.94,-58.00,3.74,31.25,69.83,0.17,0.02,,42.55,0.00,1.67,-7.41,PLAZACABLE,Cables
15.,Paramount Comm.,56.87,17.75,1734.74,37.78,2.59,10.05,11.17,49.06,0.00,0.83,47.16,43.52,-0.01,9.53,-6.26,PARACABLES,Cables
16.,SGN Telecoms,0.76,,6.14,,0.00,,50.00,24.49,0.01,0.00,,43.70,0.00,,-13.64,531812,Cables
17.,Finolex Cables,943.55,20.73,14430.59,-3.24,-2.47,-9.88,24.90,35.86,16.07,10.57,6.40,44.50,0.00,494.74,-0.25,FINCABLES,Cables
18.,Jigar Cables,55.15,24.70,38.78,276.11,147.22,135.39,30.88,44.48,0.00,0.00,,44.77,0.00,2.33,-18.78,540651,Cables
19.,Marco Cables,46.20,17.89,86.39,135.46,193.55,-4.32,30.00,72.65,0.00,0.00,,44.97,0.29,2.27,1.77,MARCO,Cables
20.,CMI,3.19,,5.11,-13.67,-134.90,5.15,-308.45,,,,149.49,45.93,,-2.54,-35.29,CMICABLES,Cables
21.,Ultracab India,10.18,13.68,125.18,159.59,64.63,3.04,7.57,29.50,0.00,0.00,107.21,46.65,1.60,4.46,-31.11,538706,Cables
22.,Birla Cable,163.20,97.15,489.60,-2.57,-58.56,-13.16,-22.50,66.36,0.01,0.13,-8.06,48.52,0.00,1.54,2.74,BIRLACABLE,Cables
23.,Diamond Power,95.05,128.29,5008.87,412.71,265.44,22.82,56.75,90.00,0.00,0.04,,50.90,0.00,2.30,4.04,DIACABS,Cables
24.,Relicab Cable,70.10,30.90,70.76,-11.73,-7.69,-40.47,-70.37,27.95,0.02,0.00,6.38,55.06,0.00,1.48,-14.06,539760,Cables
25.,Delton Cables,607.55,47.25,524.92,72.01,19.57,7.84,-60.42,73.04,0.02,0.00,84.21,55.81,0.07,1.62,-14.44,504240,Cables
26.,DCG Cables,73.15,14.78,132.76,12.97,2.35,23.20,14.87,72.45,0.00,0.00,,59.92,0.00,5.93,-8.85,DCG,Cables
27.,Godha Cabcon,0.56,10.16,52.43,,1133.33,-83.46,298.57,0.00,0.00,0.00,,60.28,0.00,12.97,-35.71,GODHA,Cables
28.,Cybele Industrie,21.00,,22.46,-25.45,-64.23,57.93,70.68,72.07,0.00,0.00,,65.60,0.00,-6.88,-35.89,531472,Cables
