Date,Year,Adj Close,Volume,Symbol,Outstanding_Shares
2021-06-04,2021,1507.7,146671,MCX.NS,50.998
2021-06-07,2021,1541.2,268166,MCX.NS,50.998
2021-06-08,2021,1550.7,132588,MCX.NS,50.998
2021-06-09,2021,1503.5,461230,MCX.NS,50.998
2021-06-10,2021,1514.8,60233,MCX.NS,50.998
2021-06-11,2021,1500.7,106129,MCX.NS,50.998
2021-06-14,2021,1488.0,106801,MCX.NS,50.998
2021-06-15,2021,1479.8,112972,MCX.NS,50.998
2021-06-16,2021,1471.8,67099,MCX.NS,50.998
2021-06-17,2021,1428.4,305595,MCX.NS,50.998
2021-06-18,2021,1429.7,161803,MCX.NS,50.998
2021-06-21,2021,1428.4,269751,MCX.NS,50.998
2021-06-22,2021,1431.8,192594,MCX.NS,50.998
2021-06-23,2021,1424.9,87644,MCX.NS,50.998
2021-06-24,2021,1448.9,174781,MCX.NS,50.998
2021-06-25,2021,1454.6,101751,MCX.NS,50.998
2021-06-28,2021,1446.4,100629,MCX.NS,50.998
2021-06-29,2021,1443.2,82687,MCX.NS,50.998
2021-06-30,2021,1456.3,79555,MCX.NS,50.998
2021-07-01,2021,1447.5,103347,MCX.NS,50.998
2021-07-02,2021,1450.3,60496,MCX.NS,50.998
2021-07-05,2021,1472.6,292661,MCX.NS,50.998
2021-07-06,2021,1454.1,123708,MCX.NS,50.998
2021-07-07,2021,1440.4,207981,MCX.NS,50.998
2021-07-08,2021,1454.3,145010,MCX.NS,50.998
2021-07-09,2021,1436.7,126148,MCX.NS,50.998
2021-07-12,2021,1419.3,229775,MCX.NS,50.998
2021-07-13,2021,1531.4,1882151,MCX.NS,50.998
2021-07-14,2021,1537.5,1593228,MCX.NS,50.998
2021-07-15,2021,1625.8,1914233,MCX.NS,50.998
2021-07-16,2021,1643.8,1220821,MCX.NS,50.998
2021-07-19,2021,1701.4,2764674,MCX.NS,50.998
2021-07-20,2021,1639.2,690121,MCX.NS,50.998
2021-07-22,2021,1605.6,382869,MCX.NS,50.998
2021-07-23,2021,1573.1,261298,MCX.NS,50.998
2021-07-26,2021,1622.5,1076615,MCX.NS,50.998
2021-07-27,2021,1602.3,550927,MCX.NS,50.998
2021-07-28,2021,1564.9,401610,MCX.NS,50.998
2021-07-29,2021,1541.2,224067,MCX.NS,50.998
2021-07-30,2021,1534.5,212934,MCX.NS,50.998
2021-08-02,2021,1523.6,232684,MCX.NS,50.998
2021-08-03,2021,1512.7,182279,MCX.NS,50.998
2021-08-04,2021,1503.5,251464,MCX.NS,50.998
2021-08-05,2021,1542.5,368846,MCX.NS,50.998
2021-08-06,2021,1538.0,271600,MCX.NS,50.998
2021-08-09,2021,1503.8,143458,MCX.NS,50.998
2021-08-10,2021,1464.7,452958,MCX.NS,50.998
