,Code,Company,SecurityID,MarketCapFull,MarketCapFreeFloat,Industry
192,500402,SPML Infra Limited,SPMLINFRA,582.59 Cr.,267.99 Cr.,Construction
193,500403,SUNDRAM FASTENERS LTD.,SUNDRMFAST,"23,161.40 Cr.","11,812.31 Cr.",Automobile and Auto Components
194,500404,SUNFLAG IRON & STEEL CO.LTD.,SUNFLAG,"3,859.40 Cr.","1,427.98 Cr.",Metals & Mining
195,500405,SUPREME PETROCHEM LTD.,SPLPETRO,"12,957.93 Cr.","4,405.70 Cr.",Chemicals
196,500407,SWARAJ ENGINES LTD.,SWARAJENG,"3,012.09 Cr.","1,415.68 Cr.",Capital Goods
197,500408,TATA ELXSI LTD.,TATAELXSI,"44,220.94 Cr.","24,763.73 Cr.",Information Technology
198,500410,ACC LTD.,ACC,"47,405.02 Cr.","20,384.16 Cr.",Construction Materials
199,500411,THERMAX LTD.,THERMAX,"52,032.58 Cr.","16,650.42 Cr.",Capital Goods
200,500412,THIRUMALAI CHEMICALS LTD.,TIRUMALCHM,"2,789.56 Cr.","1,590.05 Cr.",Chemicals
201,500413,THOMAS COOK (INDIA) LTD.,THOMASCOOK,"9,605.17 Cr.","3,265.76 Cr.",Consumer Services
202,500414,TIMEX GROUP INDIA LTD.,TIMEX,"1,375.95 Cr.",343.99 Cr.,Consumer Durables
203,500418,TOKYO PLAST INTERNATIONAL LTD.,TOKYOPLAST,105.55 Cr.,38.00 Cr.,Consumer Durables
204,500420,TORRENT PHARMACEUTICALS LTD.,TORNTPHARM,"91,052.96 Cr.","24,584.30 Cr.",Healthcare
205,500422,TRANSCHEM LTD.,TRANSCHEM,55.57 Cr.,26.67 Cr.,Healthcare
206,500425,AMBUJA CEMENTS LTD.,AMBUJACEM,"1,25,502.71 Cr.","46,436.00 Cr.",Construction Materials
207,500426,UTL Industries Limited,UTLINDS,8.57 Cr.,8.57 Cr.,Realty
208,500429,UNIPHOS ENTERPRISES LTD.,UNIENTER,"1,036.93 Cr.",269.60 Cr.,Chemicals
209,500439,VARDHMAN HOLDINGS LTD.,VHL,974.97 Cr.,233.99 Cr.,Financial Services
210,500440,HINDALCO INDUSTRIES LTD.,HINDALCO,"1,45,967.95 Cr.","94,879.17 Cr.",Metals & Mining
211,500444,WEST COAST PAPER MILLS LTD.,WSTCSTPAPR,"4,177.92 Cr.","1,796.51 Cr.",Forest Materials
212,500449,HINDUSTAN ORGANIC CHEMICALS LTD.,HOCL,298.38 Cr.,122.34 Cr.,Chemicals
213,500450,MPIL CORPORATION LTD.,MPILCORPL,53.73 Cr.,13.43 Cr.,Financial Services
214,500456,PASUPATI ACRYLON LTD.,PASUPTAC,346.73 Cr.,117.89 Cr.,Chemicals
215,500458,Kore Foods Ltd,KORE,7.64 Cr.,3.82 Cr.,Fast Moving Consumer Goods
216,500459,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,PGHH,"52,484.47 Cr.","15,220.50 Cr.",Fast Moving Consumer Goods
